City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kahului,20.8947,-156.47,26.65,78,20,5.81,US,1675453472
1,kaitangata,-46.2817,169.8464,17.5,93,21,1.24,NZ,1675453472
2,bijie,27.3125,105.2942,7.15,86,96,3.22,CN,1675453473
3,rikitea,-23.1203,-134.9692,25.74,72,99,3.36,PF,1675453473
4,fatehpur,25.9333,80.8,12.54,53,5,2.9,IN,1675453474
5,albany,42.6001,-73.9662,-12.81,45,65,2.68,US,1675453174
6,bambous virieux,-20.3428,57.7575,26.14,89,75,3.09,MU,1675453232
7,makakilo city,21.3469,-158.0858,25.34,72,20,3.09,US,1675453475
8,mar del plata,-38.0023,-57.5575,24.35,68,40,6.17,AR,1675453475
9,iqaluit,63.7506,-68.5145,-34.06,60,20,10.29,CA,1675453475
10,turayf,31.6725,38.6637,6.14,61,0,3.09,SA,1675453476
11,constitucion,-35.3333,-72.4167,20.33,70,14,3.65,CL,1675453476
12,nanortalik,60.1432,-45.2371,-7.49,70,100,14.94,GL,1675453477
13,khatanga,71.9667,102.5,-35.33,100,75,1.67,RU,1675453477
14,hermanus,-34.4187,19.2345,19.89,71,0,5.91,ZA,1675453478
15,provideniya,64.3833,-173.3,-21.21,90,61,4.89,RU,1675453478
16,valparaiso,-33.0393,-71.6273,20.8,77,100,8.75,CL,1675453260
17,hilo,19.7297,-155.09,26.82,78,40,2.24,US,1675453479
18,sao felix do xingu,-6.6447,-51.995,29.61,69,74,1.54,BR,1675453479
19,klaksvik,62.2266,-6.589,8.51,95,100,10.63,FO,1675453479
20,vaini,-21.2,-175.2,24.09,94,75,4.63,TO,1675453480
21,sao filipe,14.8961,-24.4956,22.65,67,84,4.88,CV,1675453480
22,sistranda,63.7256,8.834,-7.02,70,12,4.54,NO,1675453480
23,ushuaia,-54.8,-68.3,10.81,87,75,12.86,AR,1675453412
24,pevek,69.7008,170.3133,-30.83,99,19,1.03,RU,1675453481
25,yulara,-25.2406,130.9889,17.68,45,0,5.23,AU,1675453481
26,mitchell,43.7094,-98.0298,-12.16,69,0,10.29,US,1675453467
27,busselton,-33.65,115.3333,19.62,60,0,6.5,AU,1675453482
28,hasaki,35.7333,140.8333,2.9,66,100,5.29,JP,1675453482
29,kapaa,22.0752,-159.319,22.99,94,100,9.77,US,1675453483
30,bluff,-46.6,168.3333,16.97,94,11,1.67,NZ,1675453483
31,banda aceh,5.5577,95.3222,25.19,84,100,2.52,ID,1675453483
32,watertown,42.3709,-71.1828,-7.59,25,20,10.8,US,1675453368
33,candido de abreu,-24.5669,-51.3333,20.88,99,100,1.99,BR,1675453484
34,rodrigues alves,-7.738,-72.6509,23.11,50,97,0.74,BR,1675453484
35,flinders,-34.5833,150.8552,16.77,59,0,3.13,AU,1675453345
36,hobart,-42.8794,147.3294,13.92,84,75,4.63,AU,1675453485
37,waling,27.9833,83.7667,11.14,62,0,1.52,NP,1675453485
38,badulla,6.9895,81.0557,18.92,95,22,1.8,LK,1675453486
39,hithadhoo,-0.6,73.0833,27.87,67,84,8.89,MV,1675453486
40,jamestown,42.097,-79.2353,-12.77,84,100,6.69,US,1675453235
41,punta arenas,-53.15,-70.9167,19.06,45,40,15.43,CL,1675453212
42,saint-pierre,-21.3393,55.4781,25.82,69,100,8.75,RE,1675453487
43,ridgecrest,35.6225,-117.6709,14.1,30,0,1.79,US,1675453487
44,vestmannaeyjar,63.4427,-20.2734,4.29,70,100,16.23,IS,1675453487
45,barrow,71.2906,-156.7887,-26.99,83,0,8.23,US,1675453269
46,pinsk,52.1229,26.0951,-2.07,78,100,2.92,BY,1675453488
47,mataura,-46.1927,168.8643,19.5,85,16,1.54,NZ,1675453488
48,cayenne,4.9333,-52.3333,28.02,74,75,7.72,GF,1675453489
49,fort nelson,58.8053,-122.7002,-16.7,71,75,0.89,CA,1675453255
50,castro,-24.7911,-50.0119,19.18,96,100,3.82,BR,1675453489
51,ilulissat,69.2167,-51.1,-12.99,66,75,3.09,GL,1675453490
52,new norfolk,-42.7826,147.0587,13.72,83,100,0.89,AU,1675453490
53,padang,-0.9492,100.3543,24.89,83,99,1.53,ID,1675453490
54,coihaique,-45.5752,-72.0662,28.97,28,20,2.57,CL,1675453491
55,encruzilhada do sul,-30.5439,-52.5219,22.96,70,97,2.45,BR,1675453491
56,georgetown,5.4112,100.3354,24.96,100,20,1.03,MY,1675453245
57,butaritari,3.0707,172.7902,27.36,78,6,9.23,KI,1675453492
58,mahebourg,-20.4081,57.7,26.16,89,75,3.09,MU,1675453492
59,manaure,11.7751,-72.4445,29.97,45,27,9.22,CO,1675453492
60,nikolskoye,59.7035,30.7861,-3.45,96,100,2.41,RU,1675453493
61,todos santos,23.45,-110.2167,25.72,67,10,2.64,MX,1675453493
62,tokur,53.1333,132.9,-37.13,100,99,1.28,RU,1675453493
63,mount isa,-20.7333,139.5,20.87,49,97,6.17,AU,1675453303
64,luderitz,-26.6481,15.1594,18.2,77,1,7.3,NA,1675453494
65,novocheremshansk,54.3571,50.1666,-7.11,96,100,2.59,RU,1675453494
66,comodoro rivadavia,-45.8667,-67.5,32.92,18,0,4.12,AR,1675453495
67,bilma,18.6853,12.9164,22.24,13,29,4.1,NE,1675453495
68,tiksi,71.6872,128.8694,-36.19,100,89,0.82,RU,1675453496
